YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2017,1,Horlacher,Ben Roethlisberger,15.7,Tevin Coleman,7.8,LeGarrette Blount,11.2,Antonio Brown,23.7,Brandin Cooks,10.3,Antonio Gates,2.7,Steelers D/ST,19.4,Kelvin Benjamin,wr,3
2017,2,Horlacher,Ben Roethlisberger,17.5,Tevin Coleman,11.5,LeGarrette Blount,0.5,Antonio Brown,8.7,Brandin Cooks,5.3,Julius Thomas,4.1,Raiders D/ST,9.4,Jarvis Landry,wr,13.6
2017,3,Horlacher,Tyrod Taylor,17.8,Tevin Coleman,10.4,Chris Carson,12.2,Antonio Brown,22,Kelvin Benjamin,1.8,Benjamin Watson,8.7,Dolphins D/ST,4.1,Jarvis Landry,wr,7.8
2017,4,Horlacher,Tyrod Taylor,12.5,Tevin Coleman,16.2,Chris Carson,8.1,Antonio Brown,5.4,Brandin Cooks,5.7,Benjamin Watson,6.8,Titans D/ST,-3.1,Jarvis Landry,wr,7
2017,5,Horlacher,Tyrod Taylor,8.9,Giovani Bernard,4.2,Corey Clement,4.4,Antonio Brown,20.7,Brandin Cooks,11,Benjamin Watson,1.2,Titans D/ST,9.8,Jarvis Landry,wr,12.9
2017,6,Horlacher,Ben Roethlisberger,11.9,Tevin Coleman,10.1,Corey Clement,0.2,Antonio Brown,25.5,Brandin Cooks,12.3,Benjamin Watson,5.8,Titans D/ST,4.5,Jarvis Landry,wr,16.2
2017,7,Horlacher,Tyrod Taylor,20,Tevin Coleman,1.6,Giovani Bernard,1.2,Antonio Brown,14.5,Brandin Cooks,14.5,Benjamin Watson,6.3,Titans D/ST,10.9,Jarvis Landry,wr,18.8
2017,8,Horlacher,Tyrod Taylor,16.7,Tevin Coleman,10.9,Giovani Bernard,0.5,Antonio Brown,9.5,Brandin Cooks,5.1,Benjamin Watson,7.6,Buccaneers D/ST,4.2,Jarvis Landry,wr,5.8
2017,9,Horlacher,Tyrod Taylor,26.9,Tevin Coleman,8.9,Giovani Bernard,-0.1,Jarvis Landry,12.2,Terrelle Pryor Sr.,2.7,Benjamin Watson,7.6,Titans D/ST,6,Julius Thomas,te,17.4
